Start,End,imem_se,imem_de,dmem_se,dmem_de,regfile_se,regfile_de,iv
2023-12-06 18:09:20.174469632+00:00,2023-12-06 22:55:34.892076544+00:00,313862,0,535,0,0,0,0
2023-12-06 22:57:33.854512896+00:00,2023-12-07 02:17:53.791093760+00:00,440060,0,5136,0,7966,0,0
2023-12-07 02:22:33.131844864+00:00,2023-12-07 05:39:14.818258432+00:00,2002,4276371331,2307,0,39522,0,0
2023-12-07 05:41:02.952046336+00:00,2023-12-07 06:33:50.395201280+00:00,239166,0,215,0,0,0,0
2023-12-07 10:20:43.384623872+00:00,2023-12-07 10:21:40.368925184+00:00,120,0,0,0,0,0,120
2023-12-07 10:38:59.498397184+00:00,2023-12-07 14:07:12.658327552+00:00,451610,0,1816,0,37945,0,357502
2023-12-07 14:11:51.664844288+00:00,2023-12-07 19:20:19.482753536+00:00,974514,90,2629,0,2342,0,499356
2023-12-07 19:22:35.949153280+00:00,2023-12-07 23:20:14.222875136+00:00,997990,0,3071,0,0,0,608916
2023-12-07 23:22:55.214636800+00:00,2023-12-07 23:23:38.401997312+00:00,997990,0,0,0,0,0,608916
2023-12-07 23:56:44.472506880+00:00,2023-12-08 00:15:44.379771904+00:00,93644,0,0,0,0,0,3900
2023-12-08 00:27:13.960839424+00:00,2023-12-08 00:40:20.351603968+00:00,7500,0,0,0,0,0,6450
2023-12-08 00:41:31.904563968+00:00,2023-12-08 04:41:57.656867840+00:00,846583,0,3494,0,5324,0,600955
